Country	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 
DW_EXST,RCH_A_AVG,IS	21.0 d	12.5 d	6.4 d	4.4 d	8.2 d	19.5 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A_AVG,IT	3.4 	2.2 	1.9 	-0.4 	-1.0 	-1.2 	0.1 	-4.5 	-5.5 	-8.7 	-4.6 	0.4 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A_AVG,LT	18.3 	17.1 	7.7 	7.0 	7.1 	8.6 	6.5 	3.4 	6.8 	2.2 	-1.8 	5.9 	-4.3 	-31.3 	5.2 	33.7 	: 	: 
DW_EXST,RCH_A_AVG,LU	8.8 	14.9 	14.7 	10.9 	7.8 	5.7 	6.2 	3.9 	5.1 	3.3 	3.9 	4.8 	5.9 	-3.6 	1.5 	: 	: 	: 
DW_EXST,RCH_A_AVG,LV	14.2 	14.0 	2.5 	8.9 	10.2 	8.9 	8.5 	-2.1 	5.3 	7.4 	0.7 	6.0 	-12.3 	-37.0 	0.6 	38.0 	: 	: 
DW_EXST,RCH_A_AVG,MT	5.9 p	2.2 	6.5 	5.0 	4.4 	5.4 	6.8 	5.0 	3.0 	3.9 	3.5 	0.1 	-3.6 	-6.9 	: 	: 	: 	: 
DW_EXST,RCH_A_AVG,NL	13.6 	15.2 	7.8 	6.9 	9.0 	7.6 	5.1 	2.8 	0.9 	-6.6 	-6.5 	-2.4 	-2.2 	-3.4 	3.0 	4.2 	4.6 	: 
DW_EXST,RCH_A_AVG,NO	5.3 	10.1 	4.5 	2.7 	1.1 	5.6 	8.2 	7.1 	2.7 	4.1 	6.9 	8.0 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A_AVG,PL	11.8 	9.3 	13.8 	10.4 	7.5 	4.5 	2.5 	0.7 	1.3 	-3.7 	-5.1 	-0.4 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A_AVG,PT	13.9 	9.6 	9.1 	10.2 	11.0 	10.4 	8.7 	4.0 	4.3 	-2.2 	-7.8 	-6.6 	0.8 	-1.2 	: 	: 	: 	: 
DW_EXST,RCH_A_AVG,RO	5.1 	5.0 	4.9 	3.8 	5.9 	7.3 	6.0 	3.4 	-2.2 	0.2 	-6.5 	-13.8 	-7.7 	: 	: 	: 	: 	: 
DW_EXST,RCH_A_AVG,SE	1.9 	12.3 	5.7 	2.0 	-2.9 	6.7 	8.5 	14.9 	10.6 	6.4 	0.9 	1.9 	9.0 	2.5 	0.5 	13.7 	14.6 	: 
DW_EXST,RCH_A_AVG,SI	15.5 	11.5 	4.8 	8.0 	8.9 	7.8 	3.8 	0.6 	-6.9 	-5.3 	-5.6 	0.7 	2.1 	-7.6 	4.8 	: 	: 	: 
DW_EXST,RCH_A_AVG,SK	12.1 	7.5 	10.6 	11.0 	8.0 	5.5 	6.9 	6.4 	1.3 	1.5 	-2.3 	-0.8 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A_AVG,TR	160.0 	38.5 	24.4 	4.9 	7.0 	9.9 	13.6 	16.2 	13.6 	11.2 	9.1 	7.4 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A_AVG,UK	: 	: 	: 	1.0 	3.1 	4.5 	6.8 	6.0 	8.0 	2.5 	0.5 	-1.7 	6.1 	-8.8 	-4.6 	10.1 	8.0 	: 
DW_NEW,I10_A_AVG,AT	202.02 	177.32 	165.38 	155.25 	146.47 	141.87 	133.90 	129.00 	123.11 	117.40 	112.73 	106.03 	100.00 	: 	: 	: 	: 	: 
DW_NEW,I10_A_AVG,BE	151.11 	143.54 	135.06 	129.31 	125.44 	121.57 	116.59 	112.66 	107.50 	109.82 	105.86 	103.92 	100.00 	100.02 	101.10 	98.66 	94.44 	90.04 
DW_NEW,I10_A_AVG,BG	162.27 b	146.39 	135.91 	133.03 	122.66 	116.02 	108.73 	102.18 	98.73 	95.99 	98.69 	98.96 	100.00 	111.97 e	126.90 e	101.56 e	78.77 e	68.68 e
DW_NEW,I10_A_AVG,CY	95.75 	92.31 	96.51 	96.88 	92.58 	90.36 	88.23 	87.68 b	88.92 	91.21 	95.01 	97.36 	100.00 	: 	: 	: 	: 	: 
DW_NEW,I10_A_AVG,CZ	228.70 	193.40 	163.30 	149.70 	138.80 	124.10 	108.90 	102.90 	98.10 	96.40 	96.40 	98.50 	100.00 	103.10 	99.80 	: 	: 	: 
DW_NEW,I10_A_AVG,DE	176.60 p	167.50 	156.00 	147.00 	142.30 	133.70 	127.90 	119.60 	113.40 	109.40 	108.10 	105.10 	100.00 	97.70 	92.70 	90.20 	88.40 	89.30 
DW_NEW,I10_A_AVG,DK	292.92 	265.51 	255.12 	253.25 	251.44 	247.03 	245.46 	247.02 	221.19 	198.01 	125.05 	112.60 	100.00 	101.35 	109.70 	117.32 	103.08 	78.28 
DW_NEW,I10_A_AVG,EE	333.12 	282.93 	251.05 	229.15 	213.58 	196.44 	186.78 	177.33 	159.59 	132.75 	121.75 	109.44 	100.00 	91.09 	138.98 	150.78 	111.53 	83.38 
DW_NEW,I10_A_AVG,ES	124.72 	115.70 	110.68 	103.94 	96.66 	90.93 	85.71 	80.52 	76.88 	76.21 	80.56 	94.08 	100.00 	102.27 	106.69 	102.40 	91.51 	: 
DW_NEW,I10_A_AVG,FI	143.95 	137.90 	130.60 	126.00 	123.80 	121.07 	116.72 	114.00 b	112.79 	111.64 	109.31 	104.21 	100.00 	98.39 	: c	: c	: c	: c
DW_NEW,I10_A_AVG,FR	135.43 p	128.02 	122.38 	118.78 	114.64 	111.83 	107.58 	105.77 	104.01 	103.87 	104.27 	104.86 	100.00 	97.38 	97.19 	95.77 	90.87 	83.54 
DW_NEW,I10_A_AVG,HR	126.25 	107.45 	98.69 	97.48 	89.98 	86.89 	86.96 	90.02 	95.92 	98.00 	101.50 	101.77 	100.00 	108.51 	110.84 	: 	: 	: 
DW_NEW,I10_A_AVG,HU	296.02 p	244.52 	204.63 	182.15 	164.39 	144.58 	121.75 	110.58 	101.85 	97.72 	96.66 	96.76 	100.00 	105.46 	108.87 	106.50 	: 	: 
DW_NEW,I10_A_AVG,IE	126.73 	116.97 	113.21 	110.86 	106.55 	96.95 	91.93 	85.41 	74.04 	67.40 	72.86 	83.46 	100.00 	: 	: 	: 	: 	: 
DW_NEW,I10_A_AVG,IT	114.20 	107.70 	103.70 	101.60 	100.40 	99.30 	100.00 	99.30 	101.30 	104.10 	105.50 	103.20 	100.00 	: 	: 	: 	: 	: 
DW_NEW,I10_A_AVG,LT	245.57 	203.39 	177.51 	166.95 	156.83 	145.53 	132.43 	129.59 	123.16 	117.22 	119.27 	110.15 	100.00 	111.43 	153.54 	132.17 	116.84 	: 
DW_NEW,I10_A_AVG,LU	230.68 	207.30 	185.29 	161.86 	149.14 	141.19 	133.87 	126.76 	117.17 	114.18 	106.05 	101.51 	100.00 	95.65 	93.32 	87.80 	: 	: 
DW_NEW,I10_A_AVG,LV	267.63 	236.96 	233.78 	217.12 	199.61 	188.07 	173.52 	161.41 	174.82 	160.94 	154.72 	133.58 	100.00 	107.63 	175.30 	170.48 	131.48 	: 
DW_NEW,I10_A_AVG,MT	154.94 p	144.99 	136.77 	133.53 	125.40 	118.05 	112.17 	106.85 	100.69 	98.72 	100.82 	97.97 	100.00 	97.86 	101.67 	: 	: 	: 
DW_NEW,I10_A_AVG,NL	181.77 	161.48 	141.53 	132.35 	120.28 	107.00 	99.77 	95.37 	88.99 	88.95 	91.96 	99.96 	100.00 	99.24 	108.44 	109.23 	102.10 	98.88 
DW_NEW,I10_A_AVG,NO	194.61 	181.97 	169.91 	161.06 	151.53 	148.27 	140.85 	131.54 	124.34 	121.45 	115.91 	108.56 	100.00 	: 	: 	: 	: 	: 
DW_NEW,I10_A_AVG,PL	150.16 	134.30 	123.10 	115.89 	108.63 	102.99 	99.80 	98.73 	96.22 	95.72 	100.65 	101.08 	100.00 	: 	: 	: 	: 	: 
DW_NEW,I10_A_AVG,PT	154.07 	141.80 	130.43 	121.30 	111.52 	103.74 	98.24 	95.07 	93.48 	89.78 	90.96 	97.06 	100.00 	99.30 	99.78 	: 	: 	: 
DW_NEW,I10_A_AVG,RO	119.85 	107.65 	105.93 	101.89 	100.06 	96.21 	95.95 	91.04 	92.53 	93.51 	98.27 	96.59 	100.00 	107.26 	: 	: 	: 	: 
DW_NEW,I10_A_AVG,SE	166.08 	144.96 	143.54 	145.77 	139.21 	126.91 	119.50 	112.53 	110.05 	106.87 	108.03 	105.64 	100.00 	96.25 	90.58 	86.98 	81.41 	78.59 
DW_NEW,I10_A_AVG,SI	131.21 	122.04 	108.50 	104.41 	104.31 	96.36 	87.15 	86.86 	85.29 	90.52 	95.23 	105.24 	100.00 	102.62 	116.98 	105.25 	: 	: 
DW_NEW,I10_A_AVG,SK	162.40 	139.65 	133.10 	123.27 	116.37 	109.80 	103.03 	97.18 	94.36 	92.96 	93.33 	97.07 	100.00 	: 	: 	: 	: 	: 
DW_NEW,I10_A_AVG,TR	1173.08 	455.83 	313.88 	246.87 	232.72 	216.27 	193.74 	170.52 	146.97 	130.64 	116.77 	106.24 	100.00 	: 	: 	: 	: 	: 
DW_NEW,I10_A_AVG,UK	: 	: 	: 	142.69 	141.55 	135.79 	129.19 	118.15 	112.43 	104.05 	101.09 	101.51 	100.00 	97.22 	107.95 	111.55 	103.51 	97.32 
DW_NEW,I15_A_AVG,AT	156.60 	137.45 	128.20 	120.35 	113.54 	109.97 	103.80 	100.00 	95.44 	91.01 	87.39 	82.19 	77.52 	: 	: 	: 	: 	: 
